iter	Passed	Remaining
0	0	85
1	1	76
2	2	74
3	2	68
4	3	65
5	4	63
6	4	61
7	5	60
8	5	59
9	6	58
10	7	59
11	8	59
12	8	59
13	9	60
14	10	60
15	11	59
16	12	59
17	12	58
18	13	57
19	14	56
20	14	56
21	15	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	51
27	19	50
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	46
34	25	46
35	26	46
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	41	28
59	41	27
60	42	27
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	57	10
84	58	10
85	59	9
86	59	8
87	60	8
88	61	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	65	3
95	65	2
96	66	2
97	67	1
98	67	0
99	68	0
